# BBBLogs.txt
[2026-02-08T13:45:13.462Z] [debug] 2026-02-08T13:45:13.462Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2026-02-08T13:45:13.459Z] [debug] 2026-02-08T13:45:13.459Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found"]
[2026-02-08T13:45:13.167Z] [debug] 2026-02-08T13:45:13.167Z | DEBUG : [Database] Finished retrieving all records in ActivityGroup table | raw: ["[Database] Finished retrieving all records in ActivityGroup table"]
[2026-02-08T13:45:13.165Z] [debug] 2026-02-08T13:45:13.165Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found"]
[2026-02-08T13:45:13.160Z] [debug] 2026-02-08T13:45:13.160Z | DEBUG : [Database] Finished retrieving all records in Activity table | raw: ["[Database] Finished retrieving all records in Activity table"]
[2026-02-08T13:45:13.157Z] [debug] 2026-02-08T13:45:13.157Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found"]
[2026-02-08T13:45:12.994Z] [debug] 2026-02-08T13:45:12.994Z | DEBUG : [MainAppNavigator] Rendering RootStack.Navigator with initialRouteName: BottomTabs | raw: ["[MainAppNavigator] Rendering RootStack.Navigator with initialRouteName:","BottomTabs"]
[2026-02-08T13:45:12.992Z] [info] 2026-02-08T13:45:12.992Z | INFO : [AutoBackup] hook mounted | raw: ["[AutoBackup] hook mounted"]
[2026-02-08T13:45:12.988Z] [debug] 2026-02-08T13:45:12.988Z | DEBUG : [Database] Finished retrieving all records in MedicationLog table | raw: ["[Database] Finished retrieving all records in MedicationLog table"]
[2026-02-08T13:45:12.986Z] [debug] 2026-02-08T13:45:12.986Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found"]
[2026-02-08T13:45:12.984Z] [debug] 2026-02-08T13:45:12.984Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2026-02-08T13:45:12.982Z] [debug] 2026-02-08T13:45:12.982Z | DEBUG : [Database] Retrieving all records in Encounter table: 60 records found | raw: ["[Database] Retrieving all records in Encounter table: 60 records found"]
[2026-02-08T13:45:12.979Z] [debug] 2026-02-08T13:45:12.979Z | DEBUG : [Database] Finished retrieving all records in Treatment table | raw: ["[Database] Finished retrieving all records in Treatment table"]
[2026-02-08T13:45:12.977Z] [debug] 2026-02-08T13:45:12.977Z | DEBUG : [Database] Retrieving all records in Treatment table: 0 records found | raw: ["[Database] Retrieving all records in Treatment table: 0 records found"]
[2026-02-08T13:45:12.975Z] [debug] 2026-02-08T13:45:12.975Z | DEBUG : [Database] Finished retrieving all records in TestTaken table | raw: ["[Database] Finished retrieving all records in TestTaken table"]
[2026-02-08T13:45:12.973Z] [debug] 2026-02-08T13:45:12.973Z | DEBUG : [Database] Retrieving all records in TestTaken table: 26 records found | raw: ["[Database] Retrieving all records in TestTaken table: 26 records found"]
[2026-02-08T13:45:12.888Z] [debug] 2026-02-08T13:45:12.888Z | DEBUG : [Navigation] Current route name: Calendar | raw: ["[Navigation] Current route name:","Calendar"]
[2026-02-08T13:45:12.887Z] [debug] 2026-02-08T13:45:12.887Z | DEBUG : [Navigation] Previous route name: Calendar | raw: ["[Navigation] Previous route name:","Calendar"]
[2026-02-08T13:45:12.808Z] [debug] 2026-02-08T13:45:12.808Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2026-02-08T13:45:12.806Z] [debug] 2026-02-08T13:45:12.806Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found"]
[2026-02-08T13:45:12.803Z] [debug] 2026-02-08T13:45:12.803Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2026-02-08T13:45:12.801Z] [debug] 2026-02-08T13:45:12.801Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 59 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 59 records found"]
[2026-02-08T13:45:12.800Z] [debug] 2026-02-08T13:45:12.800Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2026-02-08T13:45:12.799Z] [debug] 2026-02-08T13:45:12.799Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found"]
[2026-02-08T13:45:12.798Z] [debug] 2026-02-08T13:45:12.798Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2026-02-08T13:45:12.796Z] [debug] 2026-02-08T13:45:12.796Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 88 records found"]
[2026-02-08T13:45:12.449Z] [debug] 2026-02-08T13:45:12.449Z | DEBUG : [Database] Finished retrieving all records in ActivityGroup table | raw: ["[Database] Finished retrieving all records in ActivityGroup table"]
[2026-02-08T13:45:12.447Z] [debug] 2026-02-08T13:45:12.447Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found"]
[2026-02-08T13:45:12.441Z] [debug] 2026-02-08T13:45:12.441Z | DEBUG : [Database] Finished retrieving all records in Activity table | raw: ["[Database] Finished retrieving all records in Activity table"]
[2026-02-08T13:45:12.439Z] [debug] 2026-02-08T13:45:12.439Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found"]
[2026-02-08T13:45:12.276Z] [debug] 2026-02-08T13:45:12.276Z | DEBUG : [MainAppNavigator] Rendering RootStack.Navigator with initialRouteName: BottomTabs | raw: ["[MainAppNavigator] Rendering RootStack.Navigator with initialRouteName:","BottomTabs"]
[2026-02-08T13:45:12.274Z] [info] 2026-02-08T13:45:12.274Z | INFO : [AutoBackup] hook mounted | raw: ["[AutoBackup] hook mounted"]
[2026-02-08T13:45:12.269Z] [debug] 2026-02-08T13:45:12.269Z | DEBUG : [Database] Finished retrieving all records in MedicationLog table | raw: ["[Database] Finished retrieving all records in MedicationLog table"]
[2026-02-08T13:45:12.267Z] [debug] 2026-02-08T13:45:12.267Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found"]
[2026-02-08T13:45:12.265Z] [debug] 2026-02-08T13:45:12.265Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2026-02-08T13:45:12.263Z] [debug] 2026-02-08T13:45:12.263Z | DEBUG : [Database] Retrieving all records in Encounter table: 60 records found | raw: ["[Database] Retrieving all records in Encounter table: 60 records found"]
[2026-02-08T13:45:12.261Z] [debug] 2026-02-08T13:45:12.261Z | DEBUG : [Database] Finished retrieving all records in Treatment table | raw: ["[Database] Finished retrieving all records in Treatment table"]
